NODE,TIME,DATA TYPE,VALUES
"2	R",21,CURRENT_icmp_recv,2
"8	R",21,CURRENT_icmp_sent,5
"8	R",21,CURRENT_icmp_recv,4
"4	R",21,CURRENT_icmp_sent,5
"4	R",21,CURRENT_icmp_recv,6
"6	R",21,CURRENT_icmp_sent,9
"6	R",21,CURRENT_icmp_recv,7
"3	R",21,CURRENT_icmp_sent,7
"3	R",21,CURRENT_icmp_recv,8
"2	R",22,CURRENT_icmp_sent,2
"2	R",22,CURRENT_icmp_recv,2
"8	R",22,CURRENT_icmp_sent,3
"8	R",22,CURRENT_icmp_recv,3
"4	R",22,CURRENT_icmp_sent,3
"4	R",22,CURRENT_icmp_recv,3
"6	R",22,CURRENT_icmp_sent,6
"6	R",22,CURRENT_icmp_recv,3
"3	R",22,CURRENT_icmp_sent,4
"3	R",22,CURRENT_icmp_recv,3
"2	R",23,CURRENT_icmp_sent,4
"2	R",23,CURRENT_icmp_recv,3
"8	R",23,CURRENT_icmp_sent,4
"8	R",23,CURRENT_icmp_recv,3
"4	R",23,CURRENT_icmp_sent,5
"4	R",23,CURRENT_icmp_recv,6
"6	R",23,CURRENT_icmp_sent,6
"6	R",23,CURRENT_icmp_recv,4
"3	R",23,CURRENT_icmp_sent,7
"3	R",23,CURRENT_icmp_recv,6
"2	R",24,CURRENT_icmp_sent,4
"2	R",24,CURRENT_icmp_recv,3
"8	R",24,CURRENT_icmp_sent,3
"8	R",24,CURRENT_icmp_recv,5
"4	R",24,CURRENT_icmp_sent,5
"4	R",24,CURRENT_icmp_recv,6
"6	R",24,CURRENT_icmp_sent,7
"6	R",24,CURRENT_icmp_recv,6
"3	R",24,CURRENT_icmp_sent,6
"3	R",24,CURRENT_icmp_recv,5
"2	R",25,CURRENT_icmp_sent,4
"2	R",25,CURRENT_icmp_recv,2
"8	R",25,CURRENT_icmp_sent,4
"8	R",25,CURRENT_icmp_recv,3
"4	R",25,CURRENT_icmp_sent,5
"4	R",25,CURRENT_icmp_recv,6
"6	R",25,CURRENT_icmp_sent,6
"6	R",25,CURRENT_icmp_recv,5
"3	R",25,CURRENT_icmp_sent,7
"3	R",25,CURRENT_icmp_recv,5
"2	R",26,CURRENT_icmp_sent,3
"2	R",26,CURRENT_icmp_recv,2
"8	R",26,CURRENT_icmp_sent,2
"8	R",26,CURRENT_icmp_recv,3
"4	R",26,CURRENT_icmp_sent,4
"4	R",26,CURRENT_icmp_recv,5
"6	R",26,CURRENT_icmp_sent,5
"6	R",26,CURRENT_icmp_recv,4
"3	R",26,CURRENT_icmp_sent,7
"3	R",26,CURRENT_icmp_recv,4
"2	R",27,CURRENT_icmp_sent,3
"2	R",27,CURRENT_icmp_recv,4
"8	R",27,CURRENT_icmp_sent,4
"8	R",27,CURRENT_icmp_recv,3
