NODE,TIME,DATA TYPE,VALUES
"6	R",22,TOTAL_icmp_recv,140
"3	R",22,TOTAL_icmp_sent,147
"3	R",22,TOTAL_icmp_recv,143
"2	R",23,TOTAL_icmp_sent,99
"2	R",23,TOTAL_icmp_recv,62
"8	R",23,TOTAL_icmp_sent,96
"8	R",23,TOTAL_icmp_recv,100
"4	R",23,TOTAL_icmp_sent,122
"4	R",23,TOTAL_icmp_recv,142
"6	R",23,TOTAL_icmp_sent,170
"6	R",23,TOTAL_icmp_recv,145
"3	R",23,TOTAL_icmp_sent,152
"3	R",23,TOTAL_icmp_recv,148
"2	R",24,TOTAL_icmp_sent,103
"2	R",24,TOTAL_icmp_recv,65
"8	R",24,TOTAL_icmp_sent,101
"8	R",24,TOTAL_icmp_recv,106
"4	R",24,TOTAL_icmp_sent,127
"4	R",24,TOTAL_icmp_recv,147
"6	R",24,TOTAL_icmp_sent,178
"6	R",24,TOTAL_icmp_recv,151
"3	R",24,TOTAL_icmp_sent,158
"3	R",24,TOTAL_icmp_recv,155
"2	R",25,TOTAL_icmp_sent,108
"2	R",25,TOTAL_icmp_recv,67
"8	R",25,TOTAL_icmp_sent,103
"8	R",25,TOTAL_icmp_recv,108
"4	R",25,TOTAL_icmp_sent,132
"4	R",25,TOTAL_icmp_recv,154
"6	R",25,TOTAL_icmp_sent,185
"6	R",25,TOTAL_icmp_recv,155
"3	R",25,TOTAL_icmp_sent,165
"3	R",25,TOTAL_icmp_recv,160
"2	R",26,TOTAL_icmp_sent,111
"2	R",26,TOTAL_icmp_recv,70
"8	R",26,TOTAL_icmp_sent,107
"8	R",26,TOTAL_icmp_recv,111
"4	R",26,TOTAL_icmp_sent,136
"4	R",26,TOTAL_icmp_recv,158
"6	R",26,TOTAL_icmp_sent,189
"6	R",26,TOTAL_icmp_recv,159
"3	R",26,TOTAL_icmp_sent,170
"3	R",26,TOTAL_icmp_recv,163
"2	R",27,TOTAL_icmp_sent,114
"2	R",27,TOTAL_icmp_recv,72
"8	R",27,TOTAL_icmp_sent,110
"8	R",27,TOTAL_icmp_recv,113
"4	R",27,TOTAL_icmp_sent,140
"4	R",27,TOTAL_icmp_recv,163
"6	R",27,TOTAL_icmp_sent,196
"6	R",27,TOTAL_icmp_recv,163
"3	R",27,TOTAL_icmp_sent,176
"3	R",27,TOTAL_icmp_recv,169
"2	R",28,TOTAL_icmp_sent,118
"2	R",28,TOTAL_icmp_recv,75
"8	R",28,TOTAL_icmp_sent,115
"8	R",28,TOTAL_icmp_recv,118
"4	R",28,TOTAL_icmp_sent,145
"4	R",28,TOTAL_icmp_recv,169
"6	R",28,TOTAL_icmp_sent,204
"6	R",28,TOTAL_icmp_recv,171
"3	R",28,TOTAL_icmp_sent,183
"3	R",28,TOTAL_icmp_recv,174
"2	R",29,TOTAL_icmp_sent,122
"2	R",29,TOTAL_icmp_recv,77
"8	R",29,TOTAL_icmp_sent,118
"8	R",29,TOTAL_icmp_recv,121
"4	R",29,TOTAL_icmp_sent,149
"4	R",29,TOTAL_icmp_recv,174
"6	R",29,TOTAL_icmp_sent,209
"6	R",29,TOTAL_icmp_recv,174
"3	R",29,TOTAL_icmp_sent,188
"3	R",29,TOTAL_icmp_recv,178
"2	R",30,TOTAL_icmp_sent,126
"2	R",30,TOTAL_icmp_recv,80
"8	R",30,TOTAL_icmp_sent,121
"8	R",30,TOTAL_icmp_recv,123
"4	R",30,TOTAL_icmp_sent,154
"4	R",30,TOTAL_icmp_recv,180
"6	R",30,TOTAL_icmp_sent,215
"6	R",30,TOTAL_icmp_recv,178
"3	R",30,TOTAL_icmp_sent,194
"3	R",30,TOTAL_icmp_recv,182
"2	R",31,TOTAL_icmp_sent,130
"2	R",31,TOTAL_icmp_recv,82
"8	R",31,TOTAL_icmp_sent,126
"8	R",31,TOTAL_icmp_recv,127
"4	R",31,TOTAL_icmp_sent,158
"4	R",31,TOTAL_icmp_recv,185
"6	R",31,TOTAL_icmp_sent,221
"6	R",31,TOTAL_icmp_recv,185
"3	R",31,TOTAL_icmp_sent,199
"3	R",31,TOTAL_icmp_recv,188
"2	R",32,TOTAL_icmp_sent,133
"2	R",32,TOTAL_icmp_recv,83
"8	R",32,TOTAL_icmp_sent,130
"8	R",32,TOTAL_icmp_recv,131
"4	R",32,TOTAL_icmp_sent,160
"4	R",32,TOTAL_icmp_recv,190
"6	R",32,TOTAL_icmp_sent,226
"6	R",32,TOTAL_icmp_recv,188
"3	R",32,TOTAL_icmp_sent,204
"3	R",32,TOTAL_icmp_recv,192
"2	R",33,TOTAL_icmp_sent,136
"2	R",33,TOTAL_icmp_recv,86
"8	R",33,TOTAL_icmp_sent,133
"8	R",33,TOTAL_icmp_recv,134
"4	R",33,TOTAL_icmp_sent,165
"4	R",33,TOTAL_icmp_recv,195
"6	R",33,TOTAL_icmp_sent,232
"6	R",33,TOTAL_icmp_recv,191
"3	R",33,TOTAL_icmp_sent,209
