NODE,TIME,DATA TYPE,VALUES
"13	R",13,TOTAL_icmp_recv,114
"2	R",13,TOTAL_icmp_sent,66
"2	R",13,TOTAL_icmp_recv,60
"8	R",13,TOTAL_icmp_sent,61
"8	R",13,TOTAL_icmp_recv,95
"4	R",13,TOTAL_icmp_sent,78
"4	R",13,TOTAL_icmp_recv,77
"9	R",13,TOTAL_icmp_sent,62
"9	R",13,TOTAL_icmp_recv,96
"12	R",13,TOTAL_icmp_sent,58
"12	R",13,TOTAL_icmp_recv,123
"11	R",13,TOTAL_icmp_sent,60
"11	R",13,TOTAL_icmp_recv,56
"6	R",13,TOTAL_icmp_sent,106
"6	R",13,TOTAL_icmp_recv,92
"3	R",13,TOTAL_icmp_sent,95
"3	R",13,TOTAL_icmp_recv,86
"10	R",14,TOTAL_icmp_sent,122
"10	R",14,TOTAL_icmp_recv,120
"13	R",14,TOTAL_icmp_sent,142
"13	R",14,TOTAL_icmp_recv,120
"2	R",14,TOTAL_icmp_sent,70
"2	R",14,TOTAL_icmp_recv,62
"8	R",14,TOTAL_icmp_sent,63
"8	R",14,TOTAL_icmp_recv,101
"4	R",14,TOTAL_icmp_sent,83
"4	R",14,TOTAL_icmp_recv,80
"9	R",14,TOTAL_icmp_sent,66
"9	R",14,TOTAL_icmp_recv,101
"12	R",14,TOTAL_icmp_sent,62
"12	R",14,TOTAL_icmp_recv,131
"11	R",14,TOTAL_icmp_sent,64
"11	R",14,TOTAL_icmp_recv,59
"6	R",14,TOTAL_icmp_sent,114
"6	R",14,TOTAL_icmp_recv,97
"3	R",14,TOTAL_icmp_sent,101
"3	R",14,TOTAL_icmp_recv,92
"10	R",15,TOTAL_icmp_sent,128
"10	R",15,TOTAL_icmp_recv,125
"13	R",15,TOTAL_icmp_sent,148
"13	R",15,TOTAL_icmp_recv,125
"2	R",15,TOTAL_icmp_sent,74
"2	R",15,TOTAL_icmp_recv,66
"8	R",15,TOTAL_icmp_sent,66
"8	R",15,TOTAL_icmp_recv,103
"4	R",15,TOTAL_icmp_sent,88
"4	R",15,TOTAL_icmp_recv,82
"9	R",15,TOTAL_icmp_sent,69
"9	R",15,TOTAL_icmp_recv,105
"12	R",15,TOTAL_icmp_sent,65
"12	R",15,TOTAL_icmp_recv,135
"11	R",15,TOTAL_icmp_sent,68
"11	R",15,TOTAL_icmp_recv,61
"6	R",15,TOTAL_icmp_sent,120
"6	R",15,TOTAL_icmp_recv,100
"3	R",15,TOTAL_icmp_sent,106
"3	R",15,TOTAL_icmp_recv,97
"10	R",16,TOTAL_icmp_sent,134
"10	R",16,TOTAL_icmp_recv,129
"13	R",16,TOTAL_icmp_sent,155
"13	R",16,TOTAL_icmp_recv,129
"2	R",16,TOTAL_icmp_sent,77
"2	R",16,TOTAL_icmp_recv,69
"8	R",16,TOTAL_icmp_sent,70
"8	R",16,TOTAL_icmp_recv,110
"4	R",16,TOTAL_icmp_sent,93
"4	R",16,TOTAL_icmp_recv,85
"9	R",16,TOTAL_icmp_sent,71
"9	R",16,TOTAL_icmp_recv,110
"12	R",16,TOTAL_icmp_sent,67
"12	R",16,TOTAL_icmp_recv,142
"11	R",16,TOTAL_icmp_sent,72
"11	R",16,TOTAL_icmp_recv,64
"6	R",16,TOTAL_icmp_sent,126
"6	R",16,TOTAL_icmp_recv,103
"3	R",16,TOTAL_icmp_sent,111
"3	R",16,TOTAL_icmp_recv,101
"10	R",17,TOTAL_icmp_sent,141
"10	R",17,TOTAL_icmp_recv,135
"13	R",17,TOTAL_icmp_sent,165
"13	R",17,TOTAL_icmp_recv,136
"2	R",17,TOTAL_icmp_sent,81
"2	R",17,TOTAL_icmp_recv,72
"8	R",17,TOTAL_icmp_sent,74
"8	R",17,TOTAL_icmp_recv,116
"4	R",17,TOTAL_icmp_sent,98
"4	R",17,TOTAL_icmp_recv,91
"9	R",17,TOTAL_icmp_sent,75
"9	R",17,TOTAL_icmp_recv,115
"12	R",17,TOTAL_icmp_sent,71
"12	R",17,TOTAL_icmp_recv,150
"11	R",17,TOTAL_icmp_sent,77
"11	R",17,TOTAL_icmp_recv,66
"6	R",17,TOTAL_icmp_sent,134
"6	R",17,TOTAL_icmp_recv,110
"3	R",17,TOTAL_icmp_sent,119
"3	R",17,TOTAL_icmp_recv,107
"10	R",18,TOTAL_icmp_sent,149
"10	R",18,TOTAL_icmp_recv,141
"13	R",18,TOTAL_icmp_sent,173
"13	R",18,TOTAL_icmp_recv,142
"2	R",18,TOTAL_icmp_sent,84
"2	R",18,TOTAL_icmp_recv,75
"8	R",18,TOTAL_icmp_sent,78
"8	R",18,TOTAL_icmp_recv,119
"4	R",18,TOTAL_icmp_sent,102
"4	R",18,TOTAL_icmp_recv,94
"9	R",18,TOTAL_icmp_sent,80
"9	R",18,TOTAL_icmp_recv,119
"12	R",18,TOTAL_icmp_sent,75
"12	R",18,TOTAL_icmp_recv,155
"11	R",18,TOTAL_icmp_sent,80
"11	R",18,TOTAL_icmp_recv,68
"6	R",18,TOTAL_icmp_sent,140
"6	R",18,TOTAL_icmp_recv,113
"3	R",18,TOTAL_icmp_sent,123
"3	R",18,TOTAL_icmp_recv,111
"10	R",19,TOTAL_icmp_sent,154
"10	R",19,TOTAL_icmp_recv,144
"13	R",19,TOTAL_icmp_sent,180
"13	R",19,TOTAL_icmp_recv,146
"2	R",19,TOTAL_icmp_sent,87
"2	R",19,TOTAL_icmp_recv,77
"8	R",19,TOTAL_icmp_sent,81
"8	R",19,TOTAL_icmp_recv,123
"4	R",19,TOTAL_icmp_sent,107
"4	R",19,TOTAL_icmp_recv,97
"9	R",19,TOTAL_icmp_sent,82
"9	R",19,TOTAL_icmp_recv,121
"12	R",19,TOTAL_icmp_sent,79
"12	R",19,TOTAL_icmp_recv,160
"11	R",19,TOTAL_icmp_sent,83
"11	R",19,TOTAL_icmp_recv,71
"6	R",19,TOTAL_icmp_sent,145
"6	R",19,TOTAL_icmp_recv,116
"3	R",19,TOTAL_icmp_sent,127
"3	R",19,TOTAL_icmp_recv,116
"10	R",20,TOTAL_icmp_sent,161
"10	R",20,TOTAL_icmp_recv,148
"13	R",20,TOTAL_icmp_sent,186
"13	R",20,TOTAL_icmp_recv,151
"2	R",20,TOTAL_icmp_sent,91
"2	R",20,TOTAL_icmp_recv,81
"8	R",20,TOTAL_icmp_sent,85
"8	R",20,TOTAL_icmp_recv,130
"4	R",20,TOTAL_icmp_sent,112
"4	R",20,TOTAL_icmp_recv,100
"9	R",20,TOTAL_icmp_sent,86
"9	R",20,TOTAL_icmp_recv,128
"12	R",20,TOTAL_icmp_sent,82
"12	R",20,TOTAL_icmp_recv,168
"11	R",20,TOTAL_icmp_sent,87
"11	R",20,TOTAL_icmp_recv,75
"6	R",20,TOTAL_icmp_sent,153
"6	R",20,TOTAL_icmp_recv,123
"3	R",20,TOTAL_icmp_sent,135
"3	R",20,TOTAL_icmp_recv,122
"10	R",21,TOTAL_icmp_sent,169
"10	R",21,TOTAL_icmp_recv,154
"13	R",21,TOTAL_icmp_sent,195
"13	R",21,TOTAL_icmp_recv,157
"2	R",21,TOTAL_icmp_sent,96
"2	R",21,TOTAL_icmp_recv,83
"8	R",21,TOTAL_icmp_sent,89
"8	R",21,TOTAL_icmp_recv,135
"4	R",21,TOTAL_icmp_sent,116
"4	R",21,TOTAL_icmp_recv,104
"9	R",21,TOTAL_icmp_sent,90
"9	R",21,TOTAL_icmp_recv,134
"12	R",21,TOTAL_icmp_sent,86
"12	R",21,TOTAL_icmp_recv,175
"11	R",21,TOTAL_icmp_sent,91
"11	R",21,TOTAL_icmp_recv,77
"6	R",21,TOTAL_icmp_sent,160
"6	R",21,TOTAL_icmp_recv,127
"3	R",21,TOTAL_icmp_sent,140
"3	R",21,TOTAL_icmp_recv,126
"10	R",22,TOTAL_icmp_sent,175
"10	R",22,TOTAL_icmp_recv,159
"13	R",22,TOTAL_icmp_sent,203
"13	R",22,TOTAL_icmp_recv,162
"2	R",22,TOTAL_icmp_sent,99
"2	R",22,TOTAL_icmp_recv,86
"8	R",22,TOTAL_icmp_sent,91
"8	R",22,TOTAL_icmp_recv,138
"4	R",22,TOTAL_icmp_sent,120
"4	R",22,TOTAL_icmp_recv,107
"9	R",22,TOTAL_icmp_sent,94
"9	R",22,TOTAL_icmp_recv,137
"12	R",22,TOTAL_icmp_sent,90
"12	R",22,TOTAL_icmp_recv,179
"11	R",22,TOTAL_icmp_sent,93
"11	R",22,TOTAL_icmp_recv,80
"6	R",22,TOTAL_icmp_sent,167
"6	R",22,TOTAL_icmp_recv,131
"3	R",22,TOTAL_icmp_sent,146
"3	R",22,TOTAL_icmp_recv,130
"10	R",23,TOTAL_icmp_sent,181
"10	R",23,TOTAL_icmp_recv,163
"13	R",23,TOTAL_icmp_sent,209
"13	R",23,TOTAL_icmp_recv,166
"2	R",23,TOTAL_icmp_sent,103
"2	R",23,TOTAL_icmp_recv,90
"8	R",23,TOTAL_icmp_sent,95
"8	R",23,TOTAL_icmp_recv,142
"4	R",23,TOTAL_icmp_sent,124
"4	R",23,TOTAL_icmp_recv,110
"9	R",23,TOTAL_icmp_sent,98
"9	R",23,TOTAL_icmp_recv,143
"12	R",23,TOTAL_icmp_sent,94
"12	R",23,TOTAL_icmp_recv,186
"11	R",23,TOTAL_icmp_sent,97
"11	R",23,TOTAL_icmp_recv,84
"6	R",23,TOTAL_icmp_sent,172
"6	R",23,TOTAL_icmp_recv,134
"3	R",23,TOTAL_icmp_sent,151
"3	R",23,TOTAL_icmp_recv,133
"10	R",24,TOTAL_icmp_sent,190
"10	R",24,TOTAL_icmp_recv,168
"13	R",24,TOTAL_icmp_sent,219
