NODE,TIME,DATA TYPE,VALUES
"22	R",7,TOTAL_icmp_recv,67
"18	R",7,TOTAL_icmp_recv,68
"12	R",7,TOTAL_icmp_sent,45
"12	R",7,TOTAL_icmp_recv,118
"14	R",7,TOTAL_icmp_sent,112
"14	R",7,TOTAL_icmp_recv,249
"11	R",7,TOTAL_icmp_sent,41
"11	R",7,TOTAL_icmp_recv,37
"6	R",7,TOTAL_icmp_sent,68
"6	R",7,TOTAL_icmp_recv,97
"21	R",7,TOTAL_icmp_sent,83
"21	R",7,TOTAL_icmp_recv,136
"19	R",7,TOTAL_icmp_sent,40
"19	R",7,TOTAL_icmp_recv,93
"15	R",7,TOTAL_icmp_sent,45
"15	R",7,TOTAL_icmp_recv,92
"3	R",7,TOTAL_icmp_sent,69
"23	R",7,TOTAL_icmp_sent,40
"3	R",7,TOTAL_icmp_recv,95
"23	R",7,TOTAL_icmp_recv,39
"10	R",8,TOTAL_icmp_sent,97
"10	R",8,TOTAL_icmp_recv,169
"13	R",8,TOTAL_icmp_sent,41
"13	R",8,TOTAL_icmp_recv,148
"2	R",8,TOTAL_icmp_sent,42
"2	R",8,TOTAL_icmp_recv,56
"8	R",8,TOTAL_icmp_sent,40
"8	R",8,TOTAL_icmp_recv,153
"20	R",8,TOTAL_icmp_sent,48
"20	R",8,TOTAL_icmp_recv,116
"4	R",8,TOTAL_icmp_sent,45
"4	R",8,TOTAL_icmp_recv,77
"9	R",8,TOTAL_icmp_sent,46
"9	R",8,TOTAL_icmp_recv,104
"16	R",8,TOTAL_icmp_sent,46
"16	R",8,TOTAL_icmp_recv,126
"17	R",8,TOTAL_icmp_sent,41
"17	R",8,TOTAL_icmp_recv,137
"22	R",8,TOTAL_icmp_sent,42
"18	R",8,TOTAL_icmp_sent,40
"22	R",8,TOTAL_icmp_recv,70
"18	R",8,TOTAL_icmp_recv,71
"12	R",8,TOTAL_icmp_sent,48
"12	R",8,TOTAL_icmp_recv,122
"14	R",8,TOTAL_icmp_sent,123
"14	R",8,TOTAL_icmp_recv,266
"11	R",8,TOTAL_icmp_sent,43
"11	R",8,TOTAL_icmp_recv,38
"6	R",8,TOTAL_icmp_sent,72
"6	R",8,TOTAL_icmp_recv,105
"21	R",8,TOTAL_icmp_sent,89
"21	R",8,TOTAL_icmp_recv,142
"19	R",8,TOTAL_icmp_sent,43
"19	R",8,TOTAL_icmp_recv,98
"15	R",8,TOTAL_icmp_sent,49
"15	R",8,TOTAL_icmp_recv,94
"23	R",8,TOTAL_icmp_sent,43
"3	R",8,TOTAL_icmp_sent,81
"23	R",8,TOTAL_icmp_recv,46
"3	R",8,TOTAL_icmp_recv,98
"10	R",9,TOTAL_icmp_sent,103
"10	R",9,TOTAL_icmp_recv,174
"13	R",9,TOTAL_icmp_sent,44
"13	R",9,TOTAL_icmp_recv,156
"2	R",9,TOTAL_icmp_sent,48
"2	R",9,TOTAL_icmp_recv,58
"8	R",9,TOTAL_icmp_sent,43
"8	R",9,TOTAL_icmp_recv,159
"20	R",9,TOTAL_icmp_sent,55
"20	R",9,TOTAL_icmp_recv,120
"4	R",9,TOTAL_icmp_sent,48
"4	R",9,TOTAL_icmp_recv,83
"9	R",9,TOTAL_icmp_sent,49
"9	R",9,TOTAL_icmp_recv,108
"16	R",9,TOTAL_icmp_sent,49
"16	R",9,TOTAL_icmp_recv,131
"17	R",9,TOTAL_icmp_sent,46
"17	R",9,TOTAL_icmp_recv,139
"22	R",9,TOTAL_icmp_sent,45
"18	R",9,TOTAL_icmp_sent,45
"22	R",9,TOTAL_icmp_recv,72
"18	R",9,TOTAL_icmp_recv,75
"12	R",9,TOTAL_icmp_sent,53
"12	R",9,TOTAL_icmp_recv,128
"14	R",9,TOTAL_icmp_sent,136
"14	R",9,TOTAL_icmp_recv,277
"11	R",9,TOTAL_icmp_sent,46
"11	R",9,TOTAL_icmp_recv,41
"6	R",9,TOTAL_icmp_sent,76
"6	R",9,TOTAL_icmp_recv,108
"21	R",9,TOTAL_icmp_sent,94
"21	R",9,TOTAL_icmp_recv,145
"19	R",9,TOTAL_icmp_sent,46
"19	R",9,TOTAL_icmp_recv,101
"15	R",9,TOTAL_icmp_sent,52
"15	R",9,TOTAL_icmp_recv,97
"3	R",9,TOTAL_icmp_sent,88
"3	R",9,TOTAL_icmp_recv,101
"23	R",9,TOTAL_icmp_sent,47
"23	R",9,TOTAL_icmp_recv,47
"10	R",10,TOTAL_icmp_sent,110
"10	R",10,TOTAL_icmp_recv,185
"13	R",10,TOTAL_icmp_sent,48
"13	R",10,TOTAL_icmp_recv,168
"2	R",10,TOTAL_icmp_sent,52
"2	R",10,TOTAL_icmp_recv,64
"8	R",10,TOTAL_icmp_sent,46
"8	R",10,TOTAL_icmp_recv,170
"20	R",10,TOTAL_icmp_sent,60
"20	R",10,TOTAL_icmp_recv,129
"4	R",10,TOTAL_icmp_sent,54
"4	R",10,TOTAL_icmp_recv,88
"9	R",10,TOTAL_icmp_sent,53
"9	R",10,TOTAL_icmp_recv,115
"16	R",10,TOTAL_icmp_sent,54
"16	R",10,TOTAL_icmp_recv,136
"17	R",10,TOTAL_icmp_sent,51
"17	R",10,TOTAL_icmp_recv,145
"22	R",10,TOTAL_icmp_sent,50
"18	R",10,TOTAL_icmp_sent,48
"22	R",10,TOTAL_icmp_recv,74
"18	R",10,TOTAL_icmp_recv,77
"12	R",10,TOTAL_icmp_sent,59
"12	R",10,TOTAL_icmp_recv,139
"14	R",10,TOTAL_icmp_sent,150
"14	R",10,TOTAL_icmp_recv,295
"11	R",10,TOTAL_icmp_sent,51
"11	R",10,TOTAL_icmp_recv,44
"6	R",10,TOTAL_icmp_sent,80
"6	R",10,TOTAL_icmp_recv,113
"21	R",10,TOTAL_icmp_sent,99
"21	R",10,TOTAL_icmp_recv,155
"19	R",10,TOTAL_icmp_sent,50
"19	R",10,TOTAL_icmp_recv,107
"15	R",10,TOTAL_icmp_sent,58
"15	R",10,TOTAL_icmp_recv,103
"3	R",10,TOTAL_icmp_sent,94
"3	R",10,TOTAL_icmp_recv,110
"23	R",10,TOTAL_icmp_sent,51
"23	R",10,TOTAL_icmp_recv,52
